latitude,longitude,X,Y
40.71271,-73.99776,-8237392.963042867,4942181.6115426
40.71965,-73.98766,-8236268.636185857,4943196.952245187
40.73877,-73.97707,-8235089.762778354,4945994.811694491
40.74893,-73.99544,-8237134.701824226,4947481.87007498
40.79406,-73.94102,-8231076.695135256,4954090.047078787
40.85295,-73.93361,-8230251.817708479,4962719.848165486
40.78558,-73.9696,-8234258.206182129,4952848.014762691
40.72577,-73.98745,-8236245.259092788,4944092.413252816
40.82773,-73.95231,-8232333.492186312,4959023.138069532
40.77944,-73.98567,-8236047.110399177,4951948.812808761
40.74503,-73.98876,-8236391.087625727,4946911.023350145
40.8054,-73.95189,-8232286.738000181,4955751.222224404
40.78491,-73.9508,-8232165.399755215,4952749.889305118
40.75835,-73.99193,-8236743.970411543,4948860.823646922
40.71895,-73.99434,-8237012.250384354,4943094.535521997
40.75579,-73.96699,-8233967.662311158,4948486.056696716
40.82399,-73.95328,-8232441.472092384,4958475.055076827
40.81822,-73.94095,-8231068.902770901,4957629.544273495
40.74412,-74.00208,-8237873.863243095,4946777.830634899
40.73067,-73.98702,-8236197.391711747,4944809.427145265
40.80481,-73.94794,-8231847.026011546,4955664.787187675
40.72533,-73.99143,-8236688.310666145,4944028.03093494
40.72939,-73.98857,-8236369.936922477,4944622.120423204
40.79918,-73.96607,-8233865.248379628,4954840.030781774
40.81333,-73.94453,-8231467.426547942,4956913.04287416
40.73215,-74.00922,-8238668.684407358,4945026.005068916
40.7463,-73.97926,-8235333.5524631925,4947096.910759043
40.74488,-74.001,-8237753.638193037,4946889.068380564
40.72274,-73.97581,-8234949.500219955,4943649.061893342
40.72255,-73.99346,-8236914.289232455,4943621.261660693
40.72094,-73.99706,-8237315.039399313,4943385.694478047
40.72485,-73.97813,-8235207.761438594,4943957.7961682705
40.80473,-73.9532,-8232432.5665331185,4955653.067242308
40.72217,-73.98419,-8235882.357552802,4943565.661435303
40.74249,-74.00329,-8238008.559826955,4946539.259263107
40.79264,-73.97294,-8234630.013281378,4953882.054110055
40.80474,-73.94688,-8231729.027351305,4955654.532234701
40.72831,-74.00177,-8237839.354200947,4944464.083200546
40.79765,-73.96245,-8233462.271822958,4954615.908451425
40.78508,-73.95332,-8232445.924872015,4952774.786714833
40.72008,-73.98404,-8235865.659629183,4943259.865913257
